name,lat,lon,zone
경복궁,37.578446,126.9757966,ID-1010
창덕궁,37.5794351,126.9888486,ID-1020
덕수궁,37.5658091,126.9729521,ID-1030
창경궁,37.578775,126.9926758,ID-1040
